110692693,1,62
666671942,1,82
621004430,1,65
684905099,2,48
557065599,2,42
302608952,2,84
832235298,1,98
288612635,2,24
961352892,1,96
600071928,1,88
153882945,1,68
490230156,1,88
254789110,1,30
478195919,2,4
364199768,1,76
667772282,1,46
425877308,1,19
221560520,2,5
320506935,1,82
129616767,1,63
478618431,2,28
153476657,2,91
609781137,2,3
456066239,2,81
700484565,2,56
473675806,2,35
881260416,2,43
373240669,2,7
858676858,1,40
907749606,1,77
394818048,2,15
282581251,1,76
292249546,1,73
349827236,1,50
132225648,2,36
698904415,1,68
795556616,1,5
850456503,2,55
719068692,2,100
669145760,2,56
211242651,2,64
764438850,1,37
824856981,2,29
666062589,1,92
496735883,2,79
762438829,2,41
675379583,1,91
106413102,1,27
176126216,2,67
472636706,2,91
446986689,1,1
235917553,1,40
951695332,2,6
419395089,2,18
210348081,2,97
627005574,1,63
367942932,2,12
584355756,2,54
459351558,1,65
732171316,2,86
353931826,2,101
317698923,2,101
928589404,1,21
263770562,1,68
400270078,1,77
406447242,2,67
129222835,1,41
425456638,2,68
927771865,1,88
604461190,1,39
907065968,1,48
853090874,2,66
890246472,2,67
920664484,1,81
466146907,1,60
509018570,2,84
565140855,1,3
670920554,1,2
724736544,2,98
533777031,1,59
649282483,1,100
489404196,1,49
879432654,2,4
693549135,2,9
793694959,2,59
297214560,2,12
279535707,1,38
168210818,2,33
595761216,1,95
889275250,1,40
757774877,2,79
717407367,1,66
120769633,2,60
557703409,1,59
244081490,1,82
444482373,1,98
299264048,2,38
682313528,2,5
434945433,2,45
958972330,2,49
